Unique Items
View source
Unique Items are the second-most common item to find and bear the words "Unique Item" in their lore in yellow text. Unique items can be identified at the Identifier for decent ID's, sometimes better than Rares and Legendaries around the same level.

They are rarer than Normal items, but more common than all other rarities.


Contents
1	List of Unique Items
1.1	Weapons
1.1.1	Bows
1.1.2	Spears
1.1.3	Wands
1.1.4	Daggers
1.1.5	Reliks
1.2	Armour
1.2.1	Helmets
1.2.2	Chestplates
1.2.3	Leggings
1.2.4	Boots
1.3	Accessories
1.3.1	Rings
1.3.2	Necklaces
1.3.3	Bracelets
2	Navigation
List of Unique Items
Weapons
Bows
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Stone Cutter	11	-	7-13	-	-	-	-	-	-	-	-	-	-	Fast	0	?
Bedrock Eater	12	-	27-39	-	-	-	-	-	-	-	-	-	-	Very Slow	1	?
The Skin Tearer	13	-	10-14	-	-	-	-	-	2	2	-	-	-	Normal	1	?
Chief	14	-	7-10	-	-	-	4-6	-	-	-	-	8	-	Normal	1	?
Hilt	16	-	8-16	-	-	-	-	-	-	-	-	-	-	Normal	3	?
Spear of Prosperity	18	-	24-33	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Grandfather	20	-	54-61	-	-	-	-	-	-	-	-	1	-	Very Slow	1	?
Broken Trident	22	-	28-44	-	-	-	-	-	5	-	10	-	-	Slow	1	?
Big Ol’ Hammer	23	-	10-15	18-25	-	-	-	-	20	-	-	-	-	Slow	1	?
Hunter	23	-	5-8	-	2-14	-	-	-	-	12	-	-	-	Very Fast	1	?
Blade of Wisdom	24	-	12-16	-	-	12-20	-	-	-	-	10	-	-	Slow	1	?
Kuiper	25	-	5-5	9-17	9-17	9-17	9-17	9-17	6	6	6	6	6	Very Slow	1	
Barbed Spear	26	-	65-75	-	-	-	-	-	10	-	-	-	-	Very Slow	1	?
Cross	28	-	41-53	-	-	-	-	-	-	-	-	-	-	Slow	0	?
Hook	29	-	13-18	-	-	-	-	13-20	-	-	-	-	10	Fast	1	?
The Head Ripper	30	-	10-15	10-15	-	-	-	15-25	5	-	-	-	5	Slow	1	?
Ocean Blade	32	-	1-20	-	-	15-20	-	-	-	-	25	-	-	Normal	1	?
Steel Buster	34	-	36-45	15-19	-	-	-	-	15	-	-	5	-	Slow	1	?
Mixolydian	36	-	14-19	-	-	-	-	11-15	-	-	-	-	25	Very Fast	1	?
Dragon Fang	38	-	4-18	-	-	-	22-36	-	-	-	-	15	-	Fast	2	?
Meteorite	40	-	-	15-25	-	-	10-30	-	10	-	-	10	-	Fast	2	23
Sharp Terror	42	-	25-31	-	-	31-39	-	-	-	-	20	-	-	Slow	2	24
Current	43	-	20-27	-	10-30	-	-	-	-	-	-	-	-	Fast	2	?
The Vampire Blade	44	-	18-28	-	10-40	-	-	-	-	-	-	-	-	Normal	1	25
Nesaak's Will	46	-	46-68	-	-	21-29	-	-	10	-	10	-	-	Slow	1	?
Gale Rider	47	-	11-18	-	-	-	-	13-18	-	-	-	-	15	Very Fast	2	27
Chest Breaker	48	-	40-92	-	-	-	-	-	30	-	-	-	-	Normal	2	27
Razor	49	-	-	-	30-80	-	-	-	-	-	-	-	-	Fast	3	28
Sandscar	51	-	26-42	16-28	-	-	-	10-18	-	-	-	-	-	Normal	1	29
Kenaz	52	-	62-71	-	-	-	28-36	-	-	-	-	20	-	Slow	2	29
Eil	54	-	80-85	-	-	-	-	-	-	-	-	-	-	Normal	2	?
Vanilla Spade	55	-	-	-	-	30-45	-	30-45	-	-	20	-	20	Normal	1	31
Spear of Vix	57	-	10-25	-	-	-	-	20-50	-	-	-	-	-	Very Fast	2	32
Carrot	58	-	1-190	1-120	-	-	-	-	15	-	-	-	-	Very Slow	1	32
Magma Rod	59	-	-	-	-	-	74-112	-	-	-	-	40	-	Normal	2	33
Griswold's Edge	60	-	100-150	-	20-30	-	-	-	-	5	-	-	-	Slow	1	?
Glowstone Killer	61	-	34-47	-	56-73	-	-	-	-	-	-	-	-	Normal	2	34
Old Maple Spear	64	-	78-102	57-80	-	-	-	-	35	-	-	-	-	Slow	2	?
Heatwind	66	-	15-24	-	-	-	21-28	14-18	-	-	-	30	20	Very Fast	2	36
Black Spear	68	-	170-184	-	-	-	-	-	-	-	-	10	-	Slow	2	?
Troms’ Pride	70	-	90-110	30-45	-	22-34	-	-	-	-	-	-	-	Normal	2	?
Fluffster	72	-	187-196	-	-	-	-	-	-	-	-	-	15	Slow	2	?
Aldo	75	-	94-109	-	-	32-44	-	71-75	-	-	-	-	-	Slow	2	?
Cloudbreaker	77	-	34-70	-	37-54	-	-	49-66	-	-	-	-	25	Normal	3	?
Dragon Slayer	79	-	70-85	-	-	-	65-75	20-30	-	-	-	40	-	Normal	2	?
Breath of the Vampire	81	-	65-80	-	-	-	-	40-80	-	-	-	25	-	Fast	2	?
Bonethrasher	83	-	50-175	-	-	-	-	-	60	-	-	-	-	Very Fast	3	?
Glitchtean	84	-	43-59	-	4-92	-	-	-	-	50	-	-	-	Very Fast	1	?
Bizzles	85	-	211-230	245-269	-	-	-	-	-	-	-	-	-	Very Slow	2	?
Nightstar	88	-	140-180	-	-	100-120	-	-	-	-	45	-	-	Slow	2	?
Hammer of the Forge	90	-	180-240	240-300	-	-	180-240	-	45	-	-	45	-	Super Slow	1	?
Heartache	91	-	300-340	-	-	200-230	-	-	-	-	60	-	-	Slow	2	?
Feedback	93	-	90-120	-	60-80	-	-	-	-	45	-	-	-	Fast	3	?
Relfect	94	-	100-130	20-25	20-25	20-25	20-25	20-25	15	15	15	15	15	Normal	2	?
Shield Buster	95	-	300-410	-	-	-	-	-	-	-	-	-	-	Slow	3	?
Frenzy	96	-	35-95	-	-	-	-	20-70	-	-	-	-	50	Very Fast	2	?
Magnitude	98	-	310-360	220-300	-	-	-	-	50	-	-	-	-	Very Slow	2	?
Diaminar	100	-	65-83	-	-	-	474-665	-	-	-	-	35	-	Very Slow	2	?
Wands
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Quartzite Wand	1	-	2-4	-	-	-	-	-	-	-	-	-	-	Fast	0	?
The Scarecrow's Arm	3	-	1-5	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Sparklock	5	-	5-9	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Detlas' Stick	7	-	5-9	-	-	1-4	-	-	-	-	-	-	-	Fast	1	?
Clock Stick	9	-	2-14	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Petrified Stick	11	-	20-25	-	-	-	-	-	5	-	-	-	-	Very Slow	0	?
Skeleton's Bone	14	-	4-18	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Autumn Tree	14	-	7-13	3-7	-	-	-	-	8	-	-	-	-	Slow	1	?
Glowing Wand	15	-	4-5	-	-	-	2-5	-	-	-	-	-	-	Very Fast	1	?
Enchanter	16	-	7-10	-	-	3-5	-	-	-	-	-	-	-	Slow	1	?
Valix	18	-	8-10	-	-	-	-	-	-	-	-	-	-	Very Fast	1	?
The Brain Smasher	20	-	20-35	7-17	-	-	-	-	5	-	-	-	-	Very Slow	1	?
Albakaya	22	-	6-12	-	-	-	8-12	-	-	-	-	-	-	Normal	1	?
Stave of Tribute	24	-	17-23	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Head Knocker	25	-	22-30	22-34	-	-	-	-	18	-	-	-	-	Very Slow	0	?
Stick of Brilliance	26	-	11-18	-	-	-	-	-	-	-	8	-	-	Normal	2	?
Dusty Staff	26	-	12-20	12-16	-	-	-	-	-	-	-	-	-	Slow	1	?
Dark Needle	28	-	6-10	-	6-14	-	-	-	-	10	-	-	-	Fast	1	?
Melted Ruby	30	-	5-10	-	-	-	10-14	-	-	-	-	-	5	Normal	1	?
Salamander	33	-	12-18	-	1-17	-	-	-	-	-	-	10	-	Very Fast	1	?
Lullaby	34	-	15-21	-	-	11-15	-	-	-	-	10	-	-	Normal	2	?
Gavel's Memory	36	-	1-30	-	-	14-18	-	14-18	-	-	-	-	15	Normal	2	?
Vampire Stick	37	-	22-28	-	-	-	-	-	-	-	-	-	-	Normal	2	?
Viper	38	-	5-10	-	5-20	-	-	-	-	-	-	22	-	Very Fast	1	?
Loam	39	-	21-24	1-15	-	-	-	-	10	-	5	-	-	Norma	2	?
Bleeding Wand	41	-	35-41	-	-	-	-	-	-	-	-	-	-	Normal	2	?
Candlestick	42	-	11-22	-	-	-	11-33	-	-	-	-	-	-	Normal	2	24
Wirt's Leg	42	-	26-34	-	-	-	-	-	-	-	-	-	-	Fast	2	?
Cigar	43	-	48-60	-	-	-	-	-	-	-	-	-	-	Slow	2	?
Devoreuse	45	-	50-58	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Sorcerer's Stick	46	-	10-18	-	17-23	-	-	-	20	10	-	-	-	Normal	3	?
Ciocca	48	-	15-25	-	-	10-25	-	10-25	-	-	-	-	15	Fast	2	?
Spine	50	-	10-20	-	1-29	-	-	-	-	30	-	-	-	Very Fast	1	28
Zombified Branch	51	-	88-104	-	-	-	-	-	-	-	-	-	-	Very Slow	1	29
Sunsetter	53	-	26-37	-	-	24-29	-	-	-	-	15	-	5	Normal	1	?
Burning Torch	56	-	10-30	-	-	-	110-180	-	-	-	-	25	-	Very Slow	0	31
Maple	58	-	47-63	22-34	-	-	-	-	-	-	-	-	-	Normal	2	?
Melon Cutter	58	-	0-0	0-135	-	-	-	-	30	-	-	-	-	Normal	0	32
Static Wand	60	-	1-30	-	1-60	-	-	-	-	30	-	-	-	Very Fast	1	33
Ohonte Kerhite	60	-	-	-	-	30-70	-	-	-	-	100	15	-	Normal	2	?
The Elder Wand	62	-	18-28	40-48	-	24-26	-	-	10	-	10	-	-	Slow	2	?
Bianco	64	-	77-93	-	-	-	-	-	-	-	-	-	-	Normal	3	?
Rotten Wood	65	-	1-5	-	-	-	-	-	-	-	-	-	-	Slow	2	?
Arakadicus' Leg	67	-	40-60	30-45	10-60	-	-	-	15	15	-	-	-	Slow	2	?
Dirge	69	-	45-80	-	-	55-90	-	55-90	20	10	-	-	-	Slow	2	?
Lichclaw	71	-	55-75	-	25-55	-	-	-	-	20	-	-	-	Normal	3	?
Moonsetter	73	-	30-75	-	-	-	45-60	-	-	10	-	20	-	Normal	1	?
Subsumere	76	-	60-90	-	20-60	40-50	-	-	-	15	20	-	-	Slow	2	?
Hickory Stick	77	-	40-95	-	-	-	20-45	-	-	-	-	35	-	Fast	1	?
Gnarl	78	-	100-150	150-200	-	-	-	-	20	-	-	-	-	Very Slow	2	?
Windchime	80	-	60-70	-	-	30-50	-	30-50	-	-	-	-	-	Fast	3	?
Aldorei's Vision	82	-	40-60	50-70	-	45-55	-	-	15	-	15	-	-	Slow	2	?
Essence Bastion	84	-	140-180	125-155	-	-	-	-	-	-	-	30	-	Very Slow	2	?
Canyon Spirit	85	The Lost	50-70	60-100	-	-	-	-	-	-	-	-	-	Normal	2	?
Deepwood Root	86	-	80-120	75-125	-	-	-	-	-	-	-	-	-	Slow	3	?
Heavenly Wisp	88	-	20-40	-	-	30-60	-	30-60	-	-	20	-	20	Fast	2	?
Lightningrod	90	-	25-50	-	35-70	-	-	-	-	30	-	-	-	Very Fast	2	?
Topaz Staff	91	-	30-60	-	1-100	-	-	-	-	25	-	25	-	Very Fast	2	?
Rainstorm	93	-	90-120	-	-	50-80	-	-	-	15	25	-	-	Normal	1	?
Magma Chalice	95	-	110-155	-	-	-	75-110	-	20	-	-	20	-	Slow	3	?
Yggdrasil	97	-	70-90	90-120	-	-	-	-	25	-	15	-	-	Normal	2	?
Cyclone	100	-	-	-	-	-	-	100-130	-	10	-	-	30	Very Fast	3	?
Daggers
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Slicer	1	-	7-9	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Spyrr	3	-	6-8	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Switch Blade	5	-	7-12	-	-	-	-	-	-	-	-	-	-	Fast	1	6
Bolt	8	-	3-10	-	1-9	-	-	-	-	4	-	-	-	Fast	1	?
Fatigue	8	-	24-32	-	-	-	-	-	-	-	-	-	-	Very Slow	1	?
Thief's Dagger	8	-	5-11	-	-	-	-	-	-	-	-	-	2	Very Fast	1	?
Scout Dagger	10	-	10-22	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Eleven	11	-	11-11	-	-	-	-	-	-	-	-	-	-	Very Fast	1	?
Claw	13	-	13-15	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Digested Dagger	16	-	16-23	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Yahya's Nail Clipper	17	-	18-24	0-8	-	-	-	-	-	-	-	-	-	Normal	1	?
The Wool Trimmer	20	-	7-14	-	-	5-10	-	-	-	-	-	-	-	Very Fast	1	?
Regrets	23	-	10-14	-	-	10-14	-	-	-	-	8	-	-	Normal	1	?
Saint's Scar	24	-	19-24	8-15	-	-	-	-	10	-	-	-	-	Normal	1	?
Fishing Hook	26	-	12-16	-	2-6	8-14	-	-	-	5	5	-	-	Fast	1	?
Ocelot Claw	27	-	10-12	-	1-20	-	-	-	-	-	-	-	-	Very Fast	1	?
Sickle	28	-	5-30	-	-	-	-	5-20	-	-	-	-	15	Fast	1	?
Clawctus	31	-	20-26	-	1-16	-	-	-	-	-	-	-	-	Fast	1	?
Devil's Scissor	31	-	16-24	-	16-24	-	16-24	-	-	10	-	10	-	Slow	1	?
Drought Savior	33	-	18-24	-	-	14-22	-	-	-	-	15	-	-	Normal	2	?
Lacerator	33	-	15-45	-	-	-	-	-	-	-	-	-	-	Very Fast	0	?
Steel Sabre	35	-	42-58	18-22	-	-	-	-	-	-	-	-	-	Slow	1	?
The Mind	37	-	20-24	-	-	16-26	-	-	-	-	20	-	-	Normal	2	22
HellRaiser	38	-	30-35	-	-	-	26-36	-	-	-	-	10	-	Normal	0	?
Whisper	38	-	20-30	-	-	-	-	12-20	-	-	-	-	20	Fast	2	?
Obsidian	41	-	40-50	38-52	-	-	-	-	30	-	-	-	-	Slow	1	?
Snowslicer	41	-	23-32	-	-	18-29	-	-	-	-	15	-	-	Fast	1	?
Celsius	42	-	11-17	-	-	20-28	-	18-30	-	-	20	-	15		2	?
Kanata	43	-	12-32	-	-	-	-	22-32	-	-	-	-	20	Fast	2	?
Dissector	44	-	44-46	-	-	-	-	-	-	-	-	-	-	Very Fast	2	?
Handmade Bucie Knife	45	-	48-58	-	-	-	34-56	-	-	-	-	-	-	Slow	2	?
Butcher's Clever	46	-	40-55	-	-	40-55	-	-	-	-	15	-	-	Slow	2	?
Twin Daggers	49	-	-	-	15-25	-	-	15-25	-	20	-	-	20	Super Fast	2	?
Vampire Touch	51	-	50-90	-	5-10	-	-	-	-	12	-	-	-	Fast	2	29
Seraph	52	-	27-45	-	-	-	-	32-36	-	-	5	-	20	Normal	2	29
Flaming Fangs	54	-	56-68	-	-	-	32-42	-	-	-	-	-	-	Normal	2	30
Karabiner	55	-	31-44	-	-	-	21-30	-	-	-	-	25	5	Very Fast	2	31
Couteau	56	-	62-66	-	-	-	-	-	-	-	-	-	-	Super Fast	0	31
Kitten Claw	57	-	12-24	-	18-54	-	-	-	-	-	-	-	-	Very Fast	2	32
Souffle	58	-	-	-	-	-	-	85-100	-	-	-	-	28	Normal	2	?
Wild Gauntlet	60	-	59-74	48-63	-	-	-	-	25	-	-	-	-	Normal	1	?
Tactical Kukri	61	-	56-72	-	-	-	34-40	-	-	-	-	35	-	Fast	2	?
Sapphire Shard	63	-	23-28	-	-	52-67	-	-	-	-	20	-	-	Fast	3	35
Bladestorm	65	-	15-18	-	20-26	-	-	34-45	-	-	-	-	-	Very Fast	2	?
Arakadicus’ Claw	66	-	80-100	120-190	20-130	-	-	-	20	20	-	-	-	Very Slow	2	?
Giant Claw	68	-	115-135	-	-	-	-	-	-	-	-	-	-	Fast	2	?
Parang	68	-	110-140	-	-	-	-	90-100	30	-	-	-	30	Slow	2	?
Crystal Senbon	70	-	99-101	-	-	-	-	-	10	10	10	10	10	Very Fast	5	?
Searing Knife	72	-	85-110	-	-	-	45-70	-	-	-	-	30	-	Normal	2	?
Wayfinder	74	-	86-100	-	-	38-49	-	33-40	-	-	15	-	20	Normal	2	?
Block Buster	76	-	130-180	90-110	-	-	-	-	35	-	-	-	-	Slow	3	?
Plasma Shear	78	-	-	-	30-42	-	37-52	-	-	20	-	25	-	Super Fast	1	?
Quill	80	-	80-90	-	-	-	-	60-70	-	-	10	-	30	Fast	3	?
Droplets	82	-	102-125	-	-	72-98	-	-	-	-	50	-	-	Fast	2	?
Nether's Deep	84	-	70-100	-	20-70	-	40-60	-	-	15	-	35	-	Normal	1	?
Sans	85	-	200-250	-	-	-	-	-	-	-	-	-	-	Normal	3	?
Poison Touch	87	-	-	30-60	-	-	-	-	-	-	-	-	-	Very Slow	2	?
Nimbus	89	-	-	-	-	40-65	-	70-100	-	-	25	-	30	Normal	2	?
Copper Knife	91	-	120-155	-	60-75	-	-	-	-	40	-	-	-	Fast	3	?
Magmarizer	93	-	135-180	-	-	-	65-85	-	-	-	-	55	-	Normal	2	?
Waterspout	95	-	55-120	-	45-155	80-95	-	-	-	25	35	-	-	Fast	2	?
Dancing Blade	98	-	60-75	-	-	-	-	50-65	-	-	-	-	50	Super Fast	2	?
Pencuri	100	-	175-275	-	-	-	-	-	-	60	-	-	-	Fast	3	?
Reliks
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Bumblebee	2	-	12-18	-	-	-	-	-	-	-	-	-	-	Slow	1	?
The Out	5	-	12-16	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Death Growl	7	-	24-27	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Windcatcher Totem	8	-	10-11	-	-	-	-	4-5	-	-	-	-	-	Fast	1	?
Turnpike	8	-	30-35	13-15	-	-	-	-	-	-	-	-	-	Very Slow	1	?
Stringendo	10	-	16-20	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Spiritual Siphoner	10	-	15-18	-	-	3-6	-	-	-	-	-	-	-	Normal	1	?
Little Machine	13	-	13-16	-	4-8	-	-	-	-	-	-	-	-	Fast	0	?
Diamond Sky	15	-	24-28	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Keen Measure	17	-	17-18	-	-	11-12	-	-	-	-	5	-	-	Normal	1	?
Butterfly Wings	19	-	33-49	-	-	-	-	-	-	-	-	-	-	Slow	2	?
Remembrance	21	-	20-23	-	-	-	-	13-16	-	-	-	-	8	Normal	1	?
Silhouette	22	-	24-27	-	-	-	-	-	-	-	-	-	8	Fast	1	?
Led Balloon	23	-	97-114	51-57	-	-	-	-	10	-	-	-	-	Super Slow	0	?
Flux and Flow	25	-	28-34	-	12-14	-	-	-	-	10	-	-	-	Normal	1	?
Sweden	28	-	21-28	-	-	-	-	21-28	-	-	-	-	14	Normal	1	?
Avocado	29	-	-	25-29	-	25-29	-	-	10	-	10	-	-	Normal	1	?
Vivace	29	-	13-18	-	9-13	-	-	9-13	-	10	-	-	10	Very Fast	1	?
Sky Glaze	30	-	25-25	-	-	20-30	-	15-35	-	-	10	-	10	Slow	2	?
Ablution	30	-	-	-	-	40-60	-	-	-	-	12	-	-	Normal	2	?
Melange	31	-	11-11	8-14	6-16	9-13	10-12	7-15	7	7	7	7	7	Normal	2	?
Windowframe	34	-	11-13	27-33	27-33	-	-	-	12	12	-	-	-	Normal	2	?
